IDs,tsne dim 1,tsne dim 2,Clusters
IT-02-0213-H1,-3.402122,18.185617,5
DE-03-2316-H1,-3.4022882,18.185345,5
DE-03-4089-H1,-3.4025826,18.184752,5
UK-03-0073-H1,4.8215137,-21.331573,1
NY-01-0388-H1,-16.012465,4.869797,8
DE-01-0202-H1,2.3316925,-0.59222835,7
ES-01-0570-H1,-8.653568,-5.4480886,10
DE-03-1918-H1,-14.484371,-14.245995,-1
DE-02-0987-H1,-6.760648,-12.905297,-1
FR-01-0429-H1,4.996851,1.4199364,7
IT-07-0111-H1,-3.7058454,17.653158,5
ES-01-0077-H1,-7.3520145,-5.4163294,10
GR-02-0321-H1,1.5081624,-0.19852667,7
NY-01-0993-H2,-3.0270028,4.9199076,-1
DE-02-2533-H1,2.4031281,-16.13386,0
CZ-01-0874-H1,4.8215137,-21.331573,1
SE-01-0989-H1,-3.4010105,18.187292,5
DE-03-3292-H1,-18.71025,-11.877104,12
FR-01-1135-H1,-10.286373,-8.068102,9
DE-03-1246-H1,-3.4017432,18.186369,5
RU-01-0630-H1,-17.927645,2.1649492,14
DE-03-2536-H1,-6.545024,-5.469111,10
DE-02-1083-H1,-17.927647,2.1649551,14
DE-03-1308-H1,-3.0064864,17.97281,5
DE-02-3168-H1,-3.0069232,17.972042,5
ES-01-0495-H1,-3.0065439,17.97275,5
CZ-01-1392-H1,-3.0064132,17.973055,5
GR-03-0410-H1,-18.271894,-4.1621037,-1
HU-01-0012-H1,-19.202986,-12.33652,12
UK-03-0356-H1,-14.403405,-14.082075,-1
ES-01-0402-H1,-8.544461,-4.1618857,10
NL-04-0060-H1,-3.0070348,17.971928,5
DE-02-1034-H1,-4.743635,-7.737464,-1
GR-01-0542-H1,3.2553976,0.5241936,7
IT-08-0197-H1,-18.67526,2.2845762,14
GR-01-0145-H1,-17.441341,-1.8361605,13
GR-03-0397-H1,-18.393646,4.037235,-1
US-01-1099-H1,-3.0068676,17.972137,5
DE-02-2328-H1,-3.3825986,17.399912,5
ES-01-0394-H1,-21.902311,-10.143891,12
NY-01-1054-H1,-18.459427,2.876093,14
DE-03-3544-H1,-3.3824008,17.400364,5
IT-02-0168-H1,-3.0063863,17.972986,5
IT-02-0693-H1,-8.272448,-6.24034,-1
NY-01-1300-H1,-16.04087,5.031147,8
DE-02-2900-H1,-3.0269399,4.919928,-1
DE-02-3584-H1,-3.3829114,17.402258,5
CZ-01-1639-H1,-16.012585,4.8697367,8
IT-06-0005-H1,-3.3825839,17.399927,5
DE-03-1101-H1,-3.0065072,17.972836,5
DE-03-2217-H1,-3.3822863,17.403515,5
US-01-0733-H1,-3.382585,17.39993,5
DE-02-3172-H1,-3.3824816,17.400118,5
UK-03-0417-H1,3.498459,-22.430374,1
CZ-01-0110-H1,-3.007075,17.971859,5
DE-01-0413-H1,-3.3827944,17.402359,5
GR-03-0376-H1,-20.788382,-9.182225,-1
IT-02-0068-H1,4.8411145,-21.393126,1
