IDs,tsne dim 1,tsne dim 2,Cluster
DE-02-3172-H1,16.612505,7.6959043,7
UK-03-0417-H1,-18.380022,-12.339141,4
CZ-01-0110-H1,16.945389,8.309565,7
DE-01-0413-H1,16.617,7.69826,7
GR-03-0376-H1,2.8249152,-22.82156,24
IT-02-0068-H1,-19.857075,-11.915643,4
DE-03-3320-H1,-19.904398,-13.474497,4
CZ-01-0215-H1,16.946432,8.311336,7
NL-01-0982-H1,16.619892,7.6992254,7
UK-01-0085-H1,8.866141,-11.149829,-1
DE-02-1410-H1,3.5215423,-7.5051823,-1
CZ-01-1265-H1,7.6957207,-7.4896946,23
DE-03-0097-H1,13.137932,-14.500648,28
FR-01-0236-H1,-18.938955,-8.653735,5
DE-02-3620-H1,-15.112636,-7.5402083,5
DE-01-0328-H1,-5.63432,-16.9823,-1
GR-01-0794-H1,16.945053,8.3090515,7
DK-01-1041-H1,16.612406,7.695707,7
NY-01-0647-H1,16.612514,7.6958904,7
IT-05-0244-H1,16.946411,8.311295,7
HU-01-0010-H1,1.1014704,-21.388493,25
